"gene_id","gene_name","1373-liver","1373-lung","1394-liver","1394-lung","1398-liver","1398-lung","1399-liver","1399-lung","1548-lung","6843-liver","6843-lung","6844-liver","6844-lung","997-lung"
"ENSMUSG00000031671","Setd6",54.505714,31.1199,49.705886,28.657295,53.000578,56.066191,43.526525,47.090328,41.886357,57.100743,69.735102,58.935119,49.934911,49.399449
"ENSMUSG00000031672","Got2",158.353237,137.547805,132.463357,130.713304,152.263875,83.831351,115.977642,111.170242,122.142847,87.404061,193.21563,128.323727,133.559676,179.796531
"ENSMUSG00000031673","Cdh11",6.15395,2.220031,12.632967,2.311286,0.080669,2.218939,0.183919,2.1689,2.093128,3.326206,3.499447,3.61355,10.415819,2.479096
"ENSMUSG00000031681","Smad1",23.021641,41.181885,34.602136,29.897149,20.588927,19.096219,48.58367,43.559301,31.248824,33.132086,24.942297,22.957196,49.968405,22.689451
"ENSMUSG00000031682","1700011L22Rik",0.068241,0.530951,0.553671,0.164729,0.209281,0.086408,0.287558,0,0,0.087341,0,0,0.099241,0.273479
"ENSMUSG00000031683","Lsm6",93.466966,91.553995,139.744859,83.82835,95.399663,114.299921,74.529579,77.14083,107.868311,65.659154,132.739309,92.694535,96.821849,116.773654
"ENSMUSG00000031684","Slc10a7",12.942103,32.727951,17.365586,25.313413,20.645341,11.427712,21.160791,20.544217,25.93541,26.956929,21.639057,29.07846,28.288112,29.116336
"ENSMUSG00000031688","Pou4f2",0.016257,0.020142,0.016808,0,0,0,0.017378,0.037224,0.021124,0,0.044215,0.123772,0,0
"ENSMUSG00000031691","Tnpo2",46.972781,46.323051,62.133162,34.759755,47.232324,22.172106,39.808262,39.330461,43.333712,28.97711,69.48582,53.078821,60.623575,52.984617
"ENSMUSG00000031696","Vps35",57.987522,95.369005,85.966289,86.271425,82.810851,23.446416,65.491908,80.775258,91.956562,61.273007,81.617237,76.660783,102.453302,83.363561
"ENSMUSG00000031697","Orc6",140.203221,125.133973,158.977851,78.044368,128.212612,67.332229,98.351945,91.471205,170.46205,105.857887,153.305227,117.295483,147.782252,118.132636
"ENSMUSG00000031698","Mylk3",0.33036,0.045591,0.311467,0.042724,0.405075,0.022115,0.135444,0.232234,0.560975,0.25131,0.040491,0.045943,0.422986,0.108926
"ENSMUSG00000031700","Gpt2",44.099625,11.824672,38.102372,8.815924,14.147179,5.130313,10.688169,7.109809,13.586122,5.80289,52.678716,21.415475,34.654543,17.045885
"ENSMUSG00000031701","Dnaja2",121.842017,159.664861,141.484281,150.856018,140.59597,53.461568,110.143648,153.832239,133.116036,114.853489,181.687141,146.917035,144.633891,148.026125
"ENSMUSG00000031703","Itfg1",40.562911,82.313514,52.922565,83.709495,62.21657,27.762191,71.673921,103.864545,69.734975,74.754215,41.843127,51.023705,65.931656,88.792638
"ENSMUSG00000031706","Rfx1",14.359677,17.704008,16.279844,13.144194,11.002728,16.990395,17.38525,15.216765,14.008063,22.296432,15.651608,11.665593,15.009428,13.870458
"ENSMUSG00000031708","Tecr",310.850472,247.565362,522.365638,227.014359,420.439731,375.280781,380.655815,371.567814,281.344875,466.835587,458.786331,388.604516,581.825983,303.23602
"ENSMUSG00000031709","Tbc1d9",14.815937,19.871771,9.18011,22.257984,12.336714,10.169939,21.204792,29.11975,15.493278,17.89679,19.662384,13.921349,6.87995,34.251641
"ENSMUSG00000031710","Ucp1",0.074685,0.095821,0.603563,0.045151,0.038012,0.212652,0.309487,0.838352,0.146086,0.283806,0.20991,0,0,0
"ENSMUSG00000031711","Zfp330",53.86739,56.371115,53.40048,51.01363,58.180945,26.080005,60.523728,53.985233,60.157644,57.663912,59.937766,51.443277,56.573921,55.350922
"ENSMUSG00000031712","Il15",0.855692,1.645221,0.930552,1.380408,0.518103,3.45477,0.730694,2.703677,2.493053,1.362185,0.448058,1.137231,0.74506,0.396084
"ENSMUSG00000031714","Gab1",12.146428,36.158212,13.242523,24.342242,15.525975,10.870318,27.426039,18.517641,24.765533,26.862274,26.37056,18.955763,15.414375,25.245913
"ENSMUSG00000031715","Smarca5",76.554665,95.307539,83.960052,72.62855,90.266932,30.950141,86.666774,67.956228,81.681252,68.302566,76.030604,59.090027,80.522677,73.388271
"ENSMUSG00000031722","Hp",913.608377,128.015552,863.393669,1041.47751,20.254339,595.47488,150.559877,74.622733,196.080378,45.658652,455.995617,31.658864,494.384975,109.556066
"ENSMUSG00000031723","Txnl4b",9.007086,10.269655,7.204076,11.889906,11.067127,13.749432,13.002404,9.23445,13.510332,10.564619,12.265426,10.592429,8.837801,12.836649
"ENSMUSG00000031725","Ces1f",8.670891,0.040943,8.982436,0.230349,0.09758,0.350772,1.069313,0.037818,1.008497,0.122984,5.160707,0.081896,10.679215,0
"ENSMUSG00000031727","Pmfbp1",0,0,0,0,0.041145,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031728","Zfp821",37.005749,38.936261,53.30005,24.536265,39.557396,40.457971,46.640946,36.569597,45.665457,44.528071,38.607966,30.173973,48.294103,33.236583
"ENSMUSG00000031729","Ist1",94.064087,104.785865,99.639724,103.266741,93.806682,89.021987,109.000507,128.727687,117.530974,103.025315,107.945524,96.749339,117.362401,89.493484
"ENSMUSG00000031730","Dhodh",19.254863,20.401872,25.006391,15.229681,18.774635,14.874295,18.327018,16.31905,16.768703,10.864754,22.263715,17.972505,29.533054,12.635315
"ENSMUSG00000031731","Ap1g1",37.361621,53.179023,54.346732,39.569757,37.396645,46.191262,61.200939,50.119766,52.656392,50.476305,62.037484,51.434344,52.188564,36.533696
"ENSMUSG00000031732","Phlpp2",7.243847,9.580463,9.419389,6.466302,7.146274,3.802504,9.228401,11.863887,9.098558,11.499667,8.275744,7.500731,13.313703,6.937851
"ENSMUSG00000031734","Irx3",4.628699,15.967212,1.745239,35.591262,28.975563,13.065974,11.430208,5.206203,37.454682,23.972158,12.964247,6.690316,1.395514,4.407481
"ENSMUSG00000031737","Irx5",15.313996,31.463297,23.004434,47.113374,32.007152,39.218135,28.577573,20.183526,48.010689,34.431769,18.321735,13.049334,15.505623,12.063176
"ENSMUSG00000031738","Irx6",0,0,0.0751,0,0,0,0,0.120025,0,0,0,0,0,0
"ENSMUSG00000031740","Mmp2",1.387842,9.16005,7.354399,6.927445,0.847819,7.183631,9.73679,12.647052,8.093128,12.352249,4.442811,7.212763,6.923876,4.746419
"ENSMUSG00000031748","Gnao1",88.273898,178.629336,121.974803,128.166735,180.115547,127.510558,162.613294,139.478148,130.588093,138.13118,130.816642,109.08643,347.314708,122.400996
"ENSMUSG00000031749","St3gal2",11.073514,8.353022,15.000995,6.89542,9.578914,3.658139,7.656686,10.325113,9.168997,5.894786,6.578537,5.018903,14.89059,6.21669
"ENSMUSG00000031750","Il34",5.46602,2.787439,4.245331,10.39496,0.973713,8.91046,3.102886,16.112168,2.719545,6.387335,2.029811,3.076852,6.161003,3.077658
"ENSMUSG00000031751","Amfr",46.717459,94.330657,58.491426,138.643661,66.970522,71.728094,99.529211,120.798039,79.341326,113.507965,82.998779,73.492687,70.930275,124.197633
"ENSMUSG00000031753","Cog4",30.6376,40.699968,29.204262,27.205826,40.710093,29.347489,36.817463,36.604932,38.180112,25.310431,41.386337,36.554074,42.333706,38.96589
"ENSMUSG00000031754","Nudt21",96.024589,110.98484,87.539428,59.722989,115.225725,35.254817,82.675423,68.400716,92.335784,53.919227,103.613723,73.401828,76.970687,69.328928
"ENSMUSG00000031755","Bbs2",12.109907,33.842757,15.589867,28.602567,19.67343,91.89801,67.616912,65.261053,46.911227,71.674671,18.967502,27.252543,31.823912,21.639285
"ENSMUSG00000031756","Cenpn",45.638876,26.283729,63.198906,14.589254,34.462684,11.774878,28.148708,20.385661,37.466739,14.248266,32.548142,20.26637,42.56914,17.719792
"ENSMUSG00000031757","Mt4",0,0,0,0,0,0,0,0.321448,0,0,0,0,0,0
"ENSMUSG00000031758","Cdyl2",0.703453,0.415829,1.018063,0.262213,0.550112,0.6237,0.667884,1.895797,0.410249,1.103432,0.145408,0.29439,0.875938,0.163026
"ENSMUSG00000031760","Mt3",123.256008,122.810243,77.842392,105.548414,164.942268,286.786698,180.215546,277.45559,199.980286,129.054743,32.694024,34.521639,65.365986,58.383743
"ENSMUSG00000031762","Mt2",2292.8112,2177.404076,598.78567,1047.872471,797.046188,2004.686063,2952.528793,1395.396924,2648.208643,1493.625998,413.3258,296.153367,399.79705,635.709787
"ENSMUSG00000031765","Mt1",982.650895,1124.515285,307.879928,743.239021,379.25403,1531.90453,2245.246318,1101.319058,1346.349217,1072.826459,293.58607,272.578697,312.193508,509.83726
"ENSMUSG00000031766","Slc12a3",0.163201,0.179367,0.049588,0.235244,0.039134,0.236615,0.062578,1.901197,0.321141,0.027215,0.072443,0.042055,0.238885,0
"ENSMUSG00000031767","Nudt7",8.466487,7.451324,7.583982,8.569177,5.276054,9.55797,10.564119,11.041107,10.566625,10.264078,10.411469,6.910245,23.820894,6.836117
"ENSMUSG00000031770","Herpud1",52.213007,70.091985,65.078377,113.431619,64.091595,65.287618,80.005018,132.405494,92.006965,96.630245,55.745428,40.387042,64.596254,83.887062
"ENSMUSG00000031772","Cntnap4",0.228755,5.58834,0.521212,6.313643,4.040401,3.150627,3.56065,3.314418,3.720827,10.311373,0.188306,0.999527,22.680172,1.305287
"ENSMUSG00000031774","Fam192a",34.201411,44.437571,29.36622,29.806818,27.535217,26.268958,33.560822,34.473522,37.334504,24.774474,44.678798,37.245074,29.800509,37.794093
"ENSMUSG00000031775","Pllp",2.386479,1.904918,4.128252,20.764025,1.004846,1.497327,1.419745,9.268344,6.186951,1.877416,7.255946,7.917886,1.541809,17.555674
"ENSMUSG00000031776","Arl2bp",107.612292,113.401863,132.254003,136.660042,94.857941,79.238765,128.889805,117.724701,150.502351,117.147231,110.842937,92.08149,99.55638,148.575705
"ENSMUSG00000031778","Cx3cl1",0.373604,4.177256,0.96565,18.520951,1.160876,6.233749,3.375503,5.781562,3.113051,4.879894,2.542584,5.974223,0.841489,2.564495
"ENSMUSG00000031779","Ccl22",0,0.312844,0.027107,0.683128,0.110477,1.465335,0.280867,0.863769,0.566358,0.101548,0.267147,0.275731,0.079051,0.721319
"ENSMUSG00000031780","Ccl17",0.17664,0.230075,0.530319,0.432,0,2.807943,1.099097,0.409926,0,0.225435,0,0.881663,1.015866,1.065022
"ENSMUSG00000031781","Ciapin1",59.109271,68.660226,76.763538,57.070791,71.683073,50.452448,43.214142,51.377969,82.125903,49.24881,119.300666,86.47911,90.509814,84.227468
"ENSMUSG00000031782","Coq9",46.250127,59.591889,55.445903,58.551614,62.759129,31.861388,78.987642,77.402188,62.150357,63.046565,78.158717,66.960293,85.608452,50.565599
"ENSMUSG00000031783","Polr2c",65.195806,83.444258,72.451568,73.230829,95.851448,78.88734,88.46197,87.712811,89.947195,63.804728,100.885686,83.8791,65.958753,86.091722
"ENSMUSG00000031785","Adgrg1",117.129435,136.794024,162.039509,169.800457,83.952019,64.836278,106.531588,95.591139,99.126126,112.317001,56.977214,72.612218,276.811023,210.541805
"ENSMUSG00000031786","Drc7",0,0.120242,0,0.322451,0.017766,1.759516,0,0,0.161333,0.964166,0,0.022716,0,0.0343
"ENSMUSG00000031787","Katnb1",23.187545,25.026824,25.821399,17.512,21.260117,17.396675,29.794985,24.829357,23.724412,19.640836,21.179607,17.763661,25.074772,20.094198
"ENSMUSG00000031788","Kifc3",8.014218,6.224378,12.482435,24.142983,0.734527,16.540321,8.194715,28.079012,6.139645,12.66034,8.595559,6.259564,8.229371,4.493015
"ENSMUSG00000031789","Cngb1",1.493877,3.628414,3.605511,0.198003,0,0.779451,0.016326,2.67264,1.732836,0.584193,2.165746,0.83256,6.009244,0.4749
"ENSMUSG00000031790","Mmp15",10.06955,12.355545,15.789633,26.617311,1.341334,8.662545,0.685593,4.84438,7.545149,1.324936,26.222189,26.883319,20.627513,103.724951
"ENSMUSG00000031791","Tmem38a",11.402126,27.216424,14.769393,33.975465,30.713161,17.58525,26.569313,20.612019,27.690919,27.522068,33.722821,27.358219,26.55611,45.429054
"ENSMUSG00000031792","Usb1",17.181694,30.694657,21.155969,26.818522,21.899646,28.649566,28.07346,28.886415,31.563564,36.673048,33.947183,31.933418,28.854474,40.248006
"ENSMUSG00000031796","Cfap20",90.269962,163.94138,137.368499,109.696821,124.960798,65.353487,156.985473,125.2795,132.97199,165.639862,150.311975,113.076007,152.092933,123.981358
"ENSMUSG00000031799","Tpm4",300.698722,315.876517,350.710094,355.664091,325.669428,187.373701,209.553624,276.666067,302.521524,359.397446,258.564654,264.777262,286.44053,315.772387
"ENSMUSG00000031803","B3gnt3",0.767197,4.476156,1.0951,7.602878,0.556296,2.704412,1.051478,3.044845,1.761193,1.619789,0.54303,4.4537,1.592514,3.826033
"ENSMUSG00000031805","Jak3",3.677804,7.970991,5.505328,7.982904,5.792364,11.73355,5.420338,7.353154,6.496922,9.838216,1.579523,6.970611,8.889429,7.377176
"ENSMUSG00000031807","Pgls",140.303812,127.246403,144.347537,95.932875,219.442437,110.843024,80.483038,94.32995,136.485837,80.209952,169.269119,142.346741,106.989818,161.86625
"ENSMUSG00000031808","Slc27a1",32.45235,63.548579,95.841345,50.346919,28.63041,41.522661,37.825908,34.698795,52.809741,53.627007,34.694049,34.000895,89.365731,42.193085
"ENSMUSG00000031809","1700018B08Rik",0,0,0.120995,0,0.141416,0.179754,0.190132,0,0,0,0,0,0.101141,0
"ENSMUSG00000031812","Map1lc3b",64.59,69.893942,80.744624,108.103586,58.189138,85.554577,90.857618,92.622703,84.865512,113.062508,79.79608,73.024609,121.354217,77.274014
"ENSMUSG00000031813","Mvb12a",35.896394,61.580669,50.012954,73.481937,52.130327,97.171443,48.100003,56.856157,61.498481,59.371273,83.426331,85.568634,56.222719,97.908306
"ENSMUSG00000031816","Mthfsd",28.661473,43.386641,32.177898,32.147948,42.983236,20.48021,24.434009,25.261036,40.367749,27.518773,42.793134,42.194733,44.714913,35.613555
"ENSMUSG00000031818","Cox4i1",1012.6295,953.01591,1225.217702,926.507873,1118.572537,897.122543,1046.963379,1150.224165,1057.271634,679.723749,1443.452903,1111.66281,1152.139039,953.322763
"ENSMUSG00000031819","Emc8",40.729728,45.556579,59.709085,43.958031,56.284849,69.030563,42.094251,43.128574,54.294271,41.013623,75.559934,65.510826,68.380156,65.122877
"ENSMUSG00000031820","Babam1",81.691254,97.516006,77.848312,80.464532,83.388743,68.271955,81.87933,73.414434,79.208358,63.55404,85.836511,87.899597,84.855885,115.931126
"ENSMUSG00000031821","Gins2",43.278673,48.56348,67.337541,45.769151,42.782943,70.18404,47.880889,26.890571,51.826453,45.512369,87.021991,70.010956,128.860764,63.492735
"ENSMUSG00000031822","Gse1",40.163598,61.038947,68.194203,42.977934,36.958477,17.253676,68.7767,52.396394,42.629952,59.779352,69.231592,41.96674,70.066213,51.411289
"ENSMUSG00000031823","Zdhhc7",22.325483,30.416593,26.59774,27.777551,22.311988,13.732634,22.208468,27.960447,25.137343,21.949947,28.513778,18.265034,52.256397,25.782537
"ENSMUSG00000031824","6430548M08Rik",3.627845,8.07159,8.451507,12.957599,4.631928,10.319021,10.230367,16.6315,9.316656,12.317286,6.234057,6.661879,17.039792,10.779324
"ENSMUSG00000031825","Crispld2",0.391503,1.992989,2.405717,2.735946,0.437154,2.183139,0.82765,2.715029,1.040742,2.980176,0.05289,0.516863,1.37776,0.712776
"ENSMUSG00000031826","Usp10",74.481963,68.972114,90.010599,48.842247,77.300231,71.563326,62.230255,57.170549,59.264818,55.343722,108.396452,92.688564,145.97545,65.029877
